Season,Round,Date,Home Team,HScore,AScore,Away Team
2010,1,Saturday 20 March, 2:20 p.m.,Northern Mystics,55,52,Adelaide Thunderbirds
2010,1,Sunday 21 March, 1:50 p.m.,Queensland Firebirds,47,50,New South Wales Swifts
2010,1,Sunday 21 March, 6:50 p.m.,Southern Steel,46,44,West Coast Fever
2010,1,Monday 22 March, 7:20 p.m.,Canterbury Tactix,54,48,Central Pulse
2010,1,Monday 22 March, 7:05 p.m.,Melbourne Vixens,48,40,Waikato Bay of Plenty Magic
2010,2,Saturday 27 March, 2:20 p.m.,Central Pulse,50,61,Northern Mystics
2010,2,Saturday 27 March, 1:50 p.m.,Adelaide Thunderbirds,38,45,New South Wales Swifts
2010,2,Sunday 28 March, 2:50 p.m.,Melbourne Vixens,53,46,Queensland Firebirds
2010,2,Monday 29 March, 7:20 p.m.,Waikato Bay of Plenty Magic,47,41,Southern Steel
2010,2,Monday 29 March, 5:05 p.m.,West Coast Fever,62,44,Canterbury Tactix
2010,3,Saturday 3 April, 2:20 p.m.,Northern Mystics,46,55,Waikato Bay of Plenty Magic
2010,3,Sunday 4 April, 2:50 p.m.,Queensland Firebirds,40,41,Adelaide Thunderbirds
2010,3,Sunday 4 April, 6:50 p.m.,Canterbury Tactix,53,56,New South Wales Swifts
2010,3,Monday 5 April, 7:20 p.m.,Southern Steel,56,44,Central Pulse
2010,3,Monday 5 April, 6:05 p.m.,West Coast Fever,50,64,Melbourne Vixens
2010,4,Saturday 10 April, 2:20 p.m.,Waikato Bay of Plenty Magic,55,50,West Coast Fever
2010,4,Saturday 10 April, 2:20 p.m.,New South Wales Swifts,50,36,Central Pulse
2010,4,Sunday 11 April, 2:20 p.m.,Adelaide Thunderbirds,53,36,Southern Steel
2010,4,Monday 12 April, 7:20 p.m.,Canterbury Tactix,49,64,Melbourne Vixens
2010,4,Monday 12 April, 7:05 p.m.,Queensland Firebirds,71,54,Northern Mystics
2010,5,Saturday 17 April, 2:20 p.m.,Central Pulse,40,75,Adelaide Thunderbirds
2010,5,Sunday 18 April, 2:50 p.m.,New South Wales Swifts,55,43,West Coast Fever
2010,5,Sunday 18 April, 6:50 p.m.,Canterbury Tactix,36,53,Waikato Bay of Plenty Magic
2010,5,Monday 19 April, 7:20 p.m.,Southern Steel,41,56,Queensland Firebirds
2010,5,Monday 19 April, 7:05 p.m.,Melbourne Vixens,62,51,Northern Mystics
2010,6,Saturday 24 April, 2:20 p.m.,Northern Mystics,59,50,Canterbury Tactix
2010,6,Sunday 25 April, 2:20 p.m.,Queensland Firebirds,62,41,Melbourne Vixens
2010,6,Monday 26 April, 7:20 p.m.,Central Pulse,40,64,Southern Steel
2010,6,Monday 26 April, 6:05 p.m.,West Coast Fever,37,57,Adelaide Thunderbirds
2010,6,BYES:  New South Wales Swifts and Waikato Bay of Plenty Magic,,,,
2010,7,Saturday 1 May, 2:20 p.m.,Canterbury Tactix,38,66,Southern Steel
2010,7,Sunday 2 May, 2:50 p.m.,New South Wales Swifts,56,42,Melbourne Vixens
2010,7,Monday 3 May, 7:20 p.m.,Waikato Bay of Plenty Magic,49,46,Northern Mystics
2010,7,Monday 3 May, 7:05 p.m.,Queensland Firebirds,63,57,West Coast Fever
2010,7,BYES:  Adelaide Thunderbirds and Central Pulse,,,,
2010,8,Saturday 8 May, 2:20 p.m.,Waikato Bay of Plenty Magic,56,44,Central Pulse
2010,8,Sunday 9 May, 2:50 p.m.,New South Wales Swifts,60,44,Adelaide Thunderbirds
2010,8,Monday 10 May, 7:20 p.m.,Southern Steel,49,52,Northern Mystics
2010,8,Monday 10 May, 7:05 p.m.,Melbourne Vixens,53,56,West Coast Fever
2010,8,BYES:  Queensland Firebirds and Canterbury Tactix,,,,
