Season,Team,Result,HScore,AScore,Round,Date,OppositionTeam
2008,Waikato Bay of Plenty Magic,WinHome,46,42,1,Monday 7 April,Adelaide Thunderbirds
2008,West Coast Fever,LoseHome,41,54,2,Monday 14 April,Adelaide Thunderbirds
2008,Melbourne Vixens,LoseHome,38,39,3,Sunday 20 April,Adelaide Thunderbirds
2008,Queensland Firebirds,LoseHome,41,47,9,Monday 2 June,Adelaide Thunderbirds
2008,Northern Mystics,LoseHome,47,48,11,Saturday 14 June,Adelaide Thunderbirds
2008,New South Wales Swifts,WinHome,51,41,12,Monday 23 June,Adelaide Thunderbirds
2008,Central Pulse,LoseHome,32,44,14,Monday 7 July,Adelaide Thunderbirds
2008,Waikato Bay of Plenty Magic,WinHome,51,49,16,Monday 21 July,Adelaide Thunderbirds
2008,Northern Mystics,LoseHome,44,48,1,Sunday 6 April,Canterbury Tactix
2008,Southern Steel,LoseHome,48,51,6,Saturday 10 May,Canterbury Tactix
2008,Central Pulse,LoseHome,50,55,7,Saturday 17 May,Canterbury Tactix
2008,Northern Mystics,WinHome,50,46,9,Monday 2 June,Canterbury Tactix
2008,Adelaide Thunderbirds,WinHome,61,41,10,Sunday 8 June,Canterbury Tactix
2008,Queensland Firebirds,WinHome,50,36,12,Sunday 22 June,Canterbury Tactix
2008,West Coast Fever,WinHome,50,44,13,Sunday 29 June,Canterbury Tactix
2008,Waikato Bay of Plenty Magic,WinHome,69,44,14,Saturday 5 July,Canterbury Tactix
2008,Queensland Firebirds,WinHome,56,28,3,Monday 21 April,Central Pulse
2008,New South Wales Swifts,WinHome,59,30,4,Monday 28 April,Central Pulse
2008,Waikato Bay of Plenty Magic,WinHome,54,37,5,Saturday 3 May,Central Pulse
2008,Southern Steel,WinHome,41,29,9,Saturday 31 May,Central Pulse
2008,West Coast Fever,LoseHome,0,0,10,Monday 9 June,Central Pulse
2008,Canterbury Tactix,WinHome,50,49,11,Sunday 15 June,Central Pulse
2008,Northern Mystics,WinHome,42,28,13,Saturday 28 June,Central Pulse
2008,Central Pulse,LoseHome,33,50,1,Saturday 5 April,Melbourne Vixens
2008,Canterbury Tactix,LoseHome,50,58,4,Monday 28 April,Melbourne Vixens
2008,New South Wales Swifts,LoseHome,52,53,5,Monday 5 May,Melbourne Vixens
2008,Adelaide Thunderbirds,LoseHome,46,52,7,Sunday 18 May,Melbourne Vixens
2008,Queensland Firebirds,WinHome,60,51,8,Sunday 25 May,Melbourne Vixens
2008,Southern Steel,WinHome,47,46,10,Saturday 7 June,Melbourne Vixens
2008,West Coast Fever,LoseHome,48,54,12,Saturday 21 June,Melbourne Vixens
2008,Adelaide Thunderbirds,WinHome,53,48,15,Monday 14 July,Melbourne Vixens
2008,Canterbury Tactix,WinHome,50,44,2,Saturday 12 April,New South Wales Swifts
2008,Queensland Firebirds,WinHome,66,52,6,Saturday 10 May,New South Wales Swifts
2008,Adelaide Thunderbirds,LoseHome,44,50,8,Monday 26 May,New South Wales Swifts
2008,Northern Mystics,LoseHome,62,64,10,Monday 9 June,New South Wales Swifts
2008,Melbourne Vixens,LoseHome,49,62,13,Monday 30 June,New South Wales Swifts
2008,West Coast Fever,LoseHome,54,63,14,Monday 7 July,New South Wales Swifts
2008,Waikato Bay of Plenty Magic,LoseHome,56,57,15,Sunday 13 July,New South Wales Swifts
2008,Waikato Bay of Plenty Magic,WinHome,56,52,2,Sunday 13 April,Northern Mystics
2008,Queensland Firebirds,WinHome,46,40,4,Saturday 26 April,Northern Mystics
2008,Southern Steel,LoseHome,48,50,5,Monday 5 May,Northern Mystics
2008,Central Pulse,LoseHome,48,54,8,Monday 26 May,Northern Mystics
2008,Melbourne Vixens,WinHome,56,47,14,Sunday 6 July,Northern Mystics
2008,Melbourne Vixens,WinHome,62,52,2,Sunday 13 April,Queensland Firebirds
2008,West Coast Fever,LoseHome,46,65,5,Saturday 3 May,Queensland Firebirds
2008,Waikato Bay of Plenty Magic,WinHome,56,50,10,Sunday 8 June,Queensland Firebirds
2008,New South Wales Swifts,WinHome,61,60,11,Sunday 15 June,Queensland Firebirds
2008,Adelaide Thunderbirds,WinHome,66,47,13,Saturday 28 June,Queensland Firebirds
2008,Southern Steel,WinHome,54,52,14,Sunday 6 July,Queensland Firebirds
2008,New South Wales Swifts,WinHome,53,42,1,Monday 7 April,Southern Steel
2008,Central Pulse,LoseHome,50,52,2,Monday 14 April,Southern Steel
2008,Canterbury Tactix,LoseHome,42,51,3,Monday 21 April,Southern Steel
2008,Adelaide Thunderbirds,WinHome,54,41,4,Sunday 27 April,Southern Steel
2008,Waikato Bay of Plenty Magic,WinHome,56,47,7,Monday 19 May,Southern Steel
2008,Northern Mystics,WinHome,47,41,12,Monday 23 June,Southern Steel
